# RA Dec Z BPTCLASS SM Dn4000 SPECSFR SM_weight
223.980290 11.861529 0.031677 5.000000 11.208437 1.975156 -12.624740 1.778534e-09
220.799260 18.879958 0.031709 5.000000 11.063374 1.936862 -12.518420 2.512248e-09
117.341550 43.767227 0.031720 3.000000 11.126381 2.010608 -12.287160 2.161298e-09
183.795540 34.611928 0.031715 5.000000 11.012174 1.890167 -11.830610 2.839684e-09
176.058220 33.514518 0.031747 -1.000000 11.267926 1.992569 -12.644950 1.545142e-09
144.846970 6.401665 0.031800 5.000000 11.012714 1.842804 -12.304020 2.835932e-09
167.435190 21.758951 0.031829 -1.000000 11.203786 2.014966 -12.552080 1.797950e-09
236.095640 25.327535 0.031984 -1.000000 11.241211 2.022029 -12.840500 1.646063e-09
245.662000 43.464641 0.032000 -1.000000 11.041072 1.883242 -12.592350 2.649715e-09
243.167280 33.034896 0.032027 -1.000000 11.030067 2.128847 -12.478090 2.720504e-09
163.837550 20.765685 0.032044 5.000000 11.079441 1.935559 -12.679200 2.417169e-09
212.768870 25.697975 0.032060 2.000000 11.211051 1.949978 -12.759440 1.767284e-09
240.417630 21.352931 0.032061 4.000000 11.225307 1.960765 -12.672370 1.708672e-09
239.140320 20.052369 0.032082 -1.000000 11.106244 1.940214 -12.487060 2.267688e-09
156.442750 13.716859 0.032139 4.000000 11.006070 1.859662 -12.050000 2.881403e-09
120.850260 41.914832 0.032210 2.000000 11.171533 1.955649 -12.611010 1.940753e-09
176.288550 49.718795 0.032210 4.000000 11.104559 1.927386 -12.550590 2.276020e-09
225.568140 11.917581 0.032227 5.000000 11.059262 1.988865 -12.203210 2.536805e-09
216.992430 26.504504 0.032245 4.000000 11.071193 2.044976 -12.559470 2.465122e-09
167.861860 22.970765 0.032260 5.000000 11.019504 1.947959 -12.710100 2.790203e-09
245.819000 39.919844 0.032294 4.000000 11.168505 1.709217 -12.783740 1.955036e-09
156.782460 11.010723 0.032336 -1.000000 11.071836 2.007571 -12.553980 2.460991e-09
216.850990 37.471409 0.032354 2.000000 11.002115 2.053795 -12.629080 2.909676e-09
240.369550 22.427615 0.032441 4.000000 11.176219 2.015134 -12.693550 1.919223e-09
155.848990 12.835054 0.032457 2.000000 11.180553 2.018988 -12.685710 1.900194e-09
197.770600 8.807866 0.032538 -1.000000 11.104415 1.900767 -12.356060 2.276949e-09
161.086410 14.084471 0.032591 -1.000000 11.347265 1.991063 -12.525000 1.282451e-09
172.188860 22.928650 0.032687 -1.000000 11.008884 2.048650 -12.449500 2.862337e-09
169.569540 28.260443 0.032716 4.000000 11.086144 1.927507 -12.665000 2.378331e-09
174.027650 62.249176 0.032746 4.000000 11.088904 1.415683 -10.596630 2.362642e-09
199.568370 53.965208 0.033000 4.000000 11.100084 1.966162 -12.749510 2.301267e-09
243.195530 27.987332 0.033011 4.000000 11.204692 1.707627 -12.011730 1.794582e-09
121.367150 35.946695 0.033019 4.000000 11.075854 1.925159 -12.393210 2.437419e-09
192.529590 52.850105 0.033036 4.000000 11.131495 2.014774 -12.576110 2.134695e-09
165.657340 59.125260 0.033084 3.000000 11.076803 1.664371 -11.280170 2.432335e-09
242.497620 26.724129 0.033079 1.000000 11.325926 1.200446 -12.123260 1.348210e-09
237.409370 42.034208 0.033113 4.000000 11.151625 1.992451 -12.318040 2.034998e-09
169.058300 55.704348 0.033131 5.000000 11.197626 1.991403 -12.543810 1.824518e-09
175.357660 27.859156 0.033146 -1.000000 11.025306 1.936937 -12.288540 2.751454e-09
179.043040 60.522543 0.033176 4.000000 11.268481 1.644642 -10.533280 1.543495e-09
220.598380 0.907980 0.033218 4.000000 11.031751 1.888435 -12.230880 2.709900e-09
243.609050 35.109157 0.033239 4.000000 11.195981 2.010524 -12.946800 1.831416e-09
236.941500 28.641694 0.033262 1.000000 11.018319 1.353338 -10.430360 2.797550e-09
173.705420 49.077636 0.033335 -1.000000 11.267561 2.003890 -12.267960 1.546791e-09
224.865170 16.645106 0.033423 -1.000000 11.301751 2.001572 -12.615890 1.426979e-09
228.649670 8.333943 0.033417 -1.000000 11.020217 1.931405 -12.303490 2.785319e-09
174.588100 47.437353 0.033419 -1.000000 11.002026 1.766583 -12.050000 2.909676e-09
230.045610 25.722039 0.033516 -1.000000 11.064514 2.050116 -12.695280 2.504837e-09
170.487630 52.962798 0.033530 -1.000000 11.114529 1.986819 -12.601040 2.223040e-09
204.541590 60.272971 0.033557 -1.000000 11.072176 1.936818 -12.473760 2.459960e-09
238.758020 41.578341 0.033563 -1.000000 11.249216 1.987213 -12.399080 1.614755e-09
173.005100 25.644166 0.033571 5.000000 11.010159 1.966864 -12.343480 2.853499e-09
156.728340 16.123377 0.033573 5.000000 11.047136 1.941071 -12.503160 2.611336e-09
250.405690 40.163501 0.033636 -1.000000 11.118196 2.027552 -12.582240 2.203381e-09
171.072220 47.847519 0.033663 -1.000000 11.113536 1.986116 -12.404630 2.228443e-09
231.469120 7.819623 0.033683 3.000000 11.015740 1.392190 -10.892800 2.816034e-09
244.396770 13.492038 0.033802 5.000000 11.104622 1.861068 -12.691810 2.276020e-09
165.188910 10.553179 0.033840 -1.000000 11.205101 2.107630 -12.593980 1.792566e-09
140.721090 21.975186 0.033885 5.000000 11.056149 1.852173 -12.228120 2.555166e-09
242.136500 9.606724 0.033898 -1.000000 11.225601 1.981564 -12.185200 1.707414e-09
174.267420 24.096257 0.034047 4.000000 11.043944 1.601470 -11.441220 2.631560e-09
243.146770 29.365082 0.034099 4.000000 11.367072 1.870059 -12.561060 1.224570e-09
222.399270 25.381341 0.034147 4.000000 11.027422 1.422713 -10.859580 2.737110e-09
242.610640 12.305682 0.034167 1.000000 11.036829 1.501568 -10.640130 2.676110e-09
207.144420 37.113308 0.034207 -1.000000 11.131151 1.813822 -12.233540 2.136398e-09
216.843700 3.576481 0.034264 -1.000000 11.048474 1.917514 -12.385000 2.603529e-09
162.049630 4.998575 0.034292 4.000000 11.121190 1.850953 -11.986940 2.188351e-09
139.727150 50.020677 0.034308 -1.000000 11.228688 2.030391 -12.534660 1.695521e-09
241.897280 13.943709 0.034324 4.000000 11.158985 1.966302 -12.431780 1.999528e-09
238.015280 12.898707 0.034394 -1.000000 11.241262 1.983762 -12.519910 1.645465e-09
203.802570 3.653338 0.034425 -1.000000 11.067442 1.982151 -12.524400 2.486964e-09
196.337970 23.095562 0.034459 -1.000000 11.040596 1.943755 -12.351050 2.653137e-09
233.145550 10.319044 0.034481 5.000000 11.014531 1.888993 -12.147500 2.823473e-09
174.267890 12.926591 0.034536 2.000000 11.018910 1.942955 -12.457140 2.793873e-09
219.064050 29.908382 0.034628 -1.000000 11.168841 1.923698 -12.471130 1.953526e-09
233.843550 25.297127 0.034628 -1.000000 11.280274 2.026617 -12.655730 1.500978e-09
223.554740 4.841550 0.034715 -1.000000 11.028955 1.955403 -12.278240 2.727604e-09
169.250460 32.597506 0.034782 4.000000 11.009718 1.888513 -12.311410 2.856020e-09
162.580100 33.628029 0.034797 5.000000 11.036402 2.027161 -12.700450 2.679579e-09
167.357510 29.569247 0.034864 5.000000 11.004208 1.661661 -11.053490 2.894208e-09
212.983410 27.113907 0.034904 4.000000 11.202950 1.909225 -12.601400 1.802003e-09
221.664620 16.146433 0.034913 4.000000 11.083354 1.763468 -12.018820 2.394162e-09
206.412260 56.616559 0.034955 -1.000000 11.193519 1.930036 -12.340860 1.842526e-09
168.013940 27.589786 0.034996 -1.000000 11.204150 2.012054 -12.468270 1.796602e-09
166.923760 13.025671 0.034986 -1.000000 11.173377 1.845534 -11.531620 1.932548e-09
129.685280 43.547545 0.035057 2.000000 11.157817 1.946321 -12.250490 2.004991e-09
226.728570 0.186320 0.035073 4.000000 11.108633 1.810188 -11.349680 2.254809e-09
164.426910 37.654539 0.035093 -1.000000 11.100897 1.909002 -12.162720 2.296563e-09
238.346570 11.959181 0.035123 4.000000 11.245004 1.713891 -10.600570 1.631193e-09
147.923800 12.445103 0.035131 -1.000000 11.006096 1.960267 -12.459500 2.881403e-09
225.338090 1.637064 0.035129 3.000000 11.088245 1.399445 -10.289350 2.366551e-09
235.222480 9.749922 0.035207 2.000000 11.030326 1.550683 -10.774490 2.718142e-09
236.141080 10.293148 0.035259 4.000000 11.095371 1.809454 -12.353700 2.326893e-09
164.811020 5.292028 0.035321 3.000000 11.039676 1.862132 -12.369540 2.658855e-09
240.400730 12.360202 0.035397 -1.000000 11.259157 2.089784 -12.756700 1.577450e-09
157.464990 19.833165 0.035408 3.000000 11.128847 1.528758 -10.997450 2.148370e-09
161.918690 38.931583 0.035459 -1.000000 11.288215 1.962661 -12.481940 1.473339e-09
195.278040 39.841467 0.035518 -1.000000 11.423313 2.018554 -12.614950 1.073860e-09
223.173090 7.931865 0.035521 -1.000000 11.138767 1.949525 -12.212260 2.098523e-09
237.282350 44.699510 0.035564 4.000000 11.039142 1.910444 -12.356670 2.662294e-09
235.979590 44.305971 0.035635 5.000000 11.008978 1.888397 -12.050000 2.861073e-09
170.266240 34.343952 0.035745 5.000000 11.209635 1.919039 -11.229250 1.773228e-09
203.239800 32.605208 0.035762 -1.000000 11.025666 2.040582 -12.570610 2.749056e-09
115.302010 42.749384 0.035771 -1.000000 11.188983 1.898019 -12.170000 1.862189e-09
196.239250 12.079067 0.035807 -1.000000 11.031632 1.992097 -12.780860 2.709900e-09
197.157960 43.737540 0.035812 4.000000 11.224281 1.945719 -12.761470 1.713086e-09
162.142030 12.982993 0.035856 5.000000 11.053897 1.927901 -12.617540 2.569327e-09
210.010910 59.265221 0.035948 5.000000 11.066272 1.994180 -12.683510 2.494302e-09
160.461420 38.716803 0.035949 2.000000 11.253012 1.981897 -12.841240 1.600843e-09
218.940600 24.725797 0.036039 4.000000 11.195831 1.379243 -10.669280 1.832107e-09
252.565420 23.579837 0.036061 -1.000000 11.341019 1.951655 -12.711000 1.301408e-09
200.061370 33.143403 0.036057 4.000000 11.090961 1.939794 -12.783850 2.351937e-09
174.650990 33.867950 0.036175 -1.000000 11.204049 2.016042 -12.780360 1.797276e-09
121.546730 12.543510 0.036202 4.000000 11.074402 1.894083 -12.484270 2.446606e-09
224.649970 44.883617 0.036221 4.000000 11.176415 1.421556 -10.461990 1.918486e-09
248.256740 22.797399 0.036325 -1.000000 11.223135 2.004856 -12.609350 1.717516e-09
218.600010 48.037459 0.036397 -1.000000 11.010195 1.956312 -12.342350 2.853499e-09
225.582130 5.646701 0.036450 5.000000 11.419296 1.701943 -11.980090 1.083980e-09
214.337820 26.857439 0.036546 3.000000 11.093867 1.354480 -11.095280 2.335521e-09
213.726760 60.011056 0.036550 -1.000000 11.187759 1.919806 -12.548350 1.867859e-09
204.353450 27.419212 0.036558 4.000000 11.145407 1.852018 -11.295380 2.065616e-09
181.638490 39.237670 0.036598 4.000000 11.173105 1.626534 -10.801250 1.934036e-09
236.213500 43.514065 0.036643 5.000000 11.146255 1.918260 -12.394440 2.061552e-09
197.844320 34.418048 0.036748 2.000000 11.174144 2.016454 -12.518870 1.928834e-09
156.546370 32.098996 0.036822 -1.000000 11.054876 1.922530 -12.167030 2.563868e-09
240.517790 17.075856 0.036850 4.000000 11.199862 1.929456 -12.075580 1.814920e-09
232.457640 3.510867 0.036872 3.000000 11.328041 1.690454 -12.212500 1.341839e-09
224.399220 8.285272 0.036941 4.000000 11.262198 1.647049 -11.967950 1.566206e-09
201.971930 28.508199 0.036994 -1.000000 11.118342 2.022005 -12.515520 2.202493e-09
239.456740 16.310187 0.037015 5.000000 11.393676 2.004858 -12.948150 1.150812e-09
174.127300 49.131349 0.037095 -1.000000 11.136540 1.913253 -12.023370 2.109371e-09
199.200960 33.978880 0.037158 4.000000 11.039648 2.012252 -12.684350 2.658855e-09
134.343420 22.443171 0.037176 -1.000000 11.050418 1.931847 -12.349020 2.591323e-09
156.193710 34.648947 0.037190 4.000000 11.055843 1.899601 -12.431190 2.557337e-09
